Age,Sleep_Hours,Exercise_Minutes,Water_Intake,Screen_Time,Mood,Stress_Level,Sentiment,Mental_Health_Status
18,7.5,40,2.5,3.0,Happy,2,Positive,Healthy
20,6.8,35,2.0,4.0,Calm,3,Positive,Healthy
22,7.0,30,2.2,4.5,Neutral,4,Neutral,Mild Stress
25,6.0,25,1.8,6.0,Sad,6,Negative,Mild Stress
28,5.5,20,1.5,8.0,Angry,7,Negative,Moderate Stress
31,5.0,15,1.2,10.0,Anxious,8,Negative,Moderate Stress
19,7.2,45,2.7,2.5,Happy,2,Positive,Healthy
24,6.7,32,2.1,4.2,Calm,3,Positive,Healthy
27,6.4,29,2.0,4.8,Neutral,4,Neutral,Mild Stress
30,5.8,20,1.7,7.0,Sad,6,Negative,Mild Stress
35,5.3,18,1.4,9.5,Angry,7,Negative,Moderate Stress
40,4.8,12,1.0,11.0,Anxious,9,Negative,High Stress
21,7.4,48,2.8,2.2,Happy,1,Positive,Healthy
23,7.1,38,2.4,3.1,Calm,2,Positive,Healthy
26,6.5,27,2.1,5.2,Neutral,4,Neutral,Mild Stress
29,6.1,22,1.9,6.8,Sad,5,Negative,Mild Stress
32,5.6,17,1.5,8.8,Angry,7,Negative,Moderate Stress
34,5.2,14,1.3,10.2,Anxious,8,Negative,Moderate Stress
17,7.8,50,3.0,2.0,Happy,1,Positive,Healthy
19,7.3,42,2.6,3.0,Calm,2,Positive,Healthy
24,6.9,30,2.2,4.6,Neutral,4,Neutral,Mild Stress
26,6.3,24,1.8,6.5,Sad,6,Negative,Mild Stress
30,5.7,18,1.4,9.0,Angry,7,Negative,Moderate Stress
33,5.1,13,1.1,11.5,Anxious,9,Negative,High Stress
22,7.0,44,2.7,2.7,Happy,2,Positive,Healthy
25,6.8,36,2.3,3.5,Calm,3,Positive,Healthy
28,6.2,28,2.0,5.0,Neutral,4,Neutral,Mild Stress
31,5.9,21,1.7,7.2,Sad,5,Negative,Mild Stress
36,5.4,16,1.3,9.2,Angry,7,Negative,Moderate Stress
41,4.9,12,1.0,12.0,Anxious,9,Negative,High Stress
20,7.6,47,2.8,2.3,Happy,1,Positive,Healthy
23,7.2,39,2.5,3.3,Calm,2,Positive,Healthy
27,6.4,29,2.1,4.9,Neutral,4,Neutral,Mild Stress
29,6.0,23,1.8,6.7,Sad,5,Negative,Mild Stress
34,5.5,17,1.4,8.9,Angry,7,Negative,Moderate Stress
39,5.0,14,1.2,10.5,Anxious,8,Negative,Moderate Stress
18,7.7,49,2.9,2.1,Happy,1,Positive,Healthy
21,7.1,40,2.4,3.2,Calm,3,Positive,Healthy
24,6.6,26,2.0,5.4,Neutral,4,Neutral,Mild Stress
28,6.2,22,1.7,6.9,Sad,6,Negative,Mild Stress
32,5.6,18,1.5,8.7,Angry,7,Negative,Moderate Stress
38,5.1,13,1.2,11.0,Anxious,9,Negative,High Stress
16,7.9,51,3.1,1.8,Happy,1,Positive,Healthy
22,7.0,41,2.5,3.4,Calm,2,Positive,Healthy
26,6.5,27,2.0,4.7,Neutral,3,Neutral,Healthy
30,6.0,21,1.8,6.4,Sad,6,Negative,Mild Stress
35,5.3,15,1.3,9.0,Angry,8,Negative,Moderate Stress
42,4.7,11,0.9,12.5,Anxious,10,Negative,High Stress
